id;codice_prodotto;barcode;descrizione;marca;marca_standard;categoria_standard;fornitore;prezzo_acquisto;prezzo_vendita;motivo
6a2a7277b080e6030891a040;A6046-XJ;5011402713929;Filo Nylon 37,5 mt spessore 1,5 mm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7277b080e6030891a041;A6125CSL-XJ;5035048561508;Catena cromata 25 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7277b080e6030891a042;A6130CSL-XJ;5035048561522;Catena cromata 30 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7277b080e6030891a043;A6150-XJ;5035048148907;Catena cromata 10 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7277b080e6030891a044;A6158-XJ;5035048143032;Catena cromata 20 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7277b080e6030891a045;A6225CS-XJ;5035048561584;Catena cromata 25 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7277b080e6030891a046;A6235CS-XJ;5035048627808;Catena cromata 35 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7277b080e6030891a047;A6240CS-XJ;5035048627822;Catena cromata 40 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a048;A6245CS-XJ;5035048561546;Catena cromata 45 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a049;A6319-XJ;5035048692509;Lama per rasaerba BEMW 32 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a04a;A6320-XJ;5035048692516;Lama per rasaerba BEMW 34 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a04b;A6321-XJ;5035048692523;Lama per rasaerba BEMW 38 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a04c;A6322-XJ;5035048692530;Lama per rasaerba BEMW 42 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a04d;A6323-XJ;5035048715307;Lama per rasaerba BEMW 32 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a04e;A6324X10-XJ;5035048715321;Pack da 10 lame per rasaerba a cuscino d'aria (cod. BEMWH551-QS);BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a04f;A6324X20-XJ;5035048715345;Pack da 20 lame per rasaerba a cuscino d'aria (cod. BEMWH551-QS);BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a050;A6324-XJ;5035048734070;Lama per rasaerba 32 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a051;A6328-XJ;5054905337506;Lama per rasaerba 34 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a052;A6329-XJ;5054905337513;Lama per rasaerba 40 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a053;A6330-XJ;5054905337520;Rullo per scarificazione 30 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a054;A6331-XJ;5054905337537;Rullo per areazione 30 cm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a055;A6440-XJ;5035048009338;Filo nylon 25mt spessore 1.5 mm per modelli ad alimentazione REFLEX PLUS;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a056;A6482-XJ;5035048023235;Rocchetto e filo nylon 10 mt 2 mm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a057;A6487-XJ;5035048010402;10 unità di filo HDL 3.0 mm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a058;A6489-XJ;5035048023228;10 unità di filo HDL 2.5 mm;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a059;A6502-XJ;5035048736142;Tappo rocchetto GL HPP;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a05a;A6504-XJ;5035048736210;Tappo rocchetto AFS;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a05b;A6505-XJ;5035048736227;Tappo rocchetto PC;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a05c;A7039-XJ;5035048009000;Giftset Accessori - Set cricchetto 45 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a05d;A7062-XJ;5035048010341;Giftset Accessori - Set cricchetto 40 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a05e;A7073-XJ;5035048010396;Giftset Accessori - Set alcaline;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a05f;A7104-XJ;5035048010624;Giftset Accessori - Set cricchetto 56 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a060;A7142-XJ;5035048010822;Giftset Accessori - Set cricchetto + bussole 33 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a061;A7186-XJ;5035048022610;Giftset Accessori - Set 16 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a062;A7188-XJ;5035048022634;Giftset Accessori - Set 50 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a063;A7200-XJ;5035048087275;Giftset Accessori - Set 109 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a064;A7202-XJ;5035048087299;Giftset accessori con 38 inserti lunghi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a065;A7216-XJ;5035048024478;Giftset Accessori - Set 32 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a066;A7228-XJ;5035048661642;Giftset Accessori - Set 31 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a067;A7230-XJ;5035048540985;Giftset Accessori - Set 104 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a068;A7232-XJ;5035048541005;Giftset Accessori - Set 50 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a069;A7233-XJ;5035048541012;Giftset Accessori - Set 31 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a06a;A7234-XJ;5035048541029;Giftset Accessori - Set 45 pezzi;BLACK+DECKER;BLACK+DECKER;Accessori;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2a7278b080e6030891a08f;BCPP18D1-QW;5035048788462;Potatore a batteria 18V;BLACK+DECKER;BLACK+DECKER;Giardinaggio;BLACK+DECKER;0.0;0.0;prezzo_vendita zero o negativo
6a2ee886e6904f510183dc31;STA33471-QZ;5035048375419;ABRASIVI PER LEVIGATRICI (75 x 457 mm) - 9 Nastri: 3 pz 60g, 3 pz 80g, 3 pz 100g;STANLEY;STANLEY;Accessori;STANLEY;0.0;0.0;prezzo_vendita zero o negativo
